歌曲,#genre#
帝女花 陈佳,https://vdse.bdstatic.com//0a026abbbd309822a1a412ae1c6db5d5.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-12-27T01%3A34%3A43Z%2F-1%2Fhost%2F20a29f8ad8b590193f7098fc8de4b65f6c1926877959bbedec7e9a0d75a40b25&vid=1922860993526554826
祝福祖国,https://vd3.bdstatic.com/mda-nmi7gtaa99dh4kqr/hd/cae_h264/1671519272241795398/mda-nmi7gtaa99dh4kqr.mp4?pd=19&vt=1
最后一夜,https://vd3.bdstatic.com/mda-mmn2gcju9d41vf4z/sc/cae_h264/1640240791052012150/mda-mmn2gcju9d41vf4z.mp4?pd=19&vt=1
央视,#genre#
CCTV-1,http://118.249.4.215:8082/hls/1/index.m3u8
CCTV-2,http://118.249.4.215:8082/hls/2/index.m3u8
CCTV-3,http://118.249.4.215:8082/hls/3/index.m3u8
CCTV-5,http://118.249.4.215:8082/hls/5/index.m3u8
CCTV-6,http://118.249.4.215:8082/hls/7/index.m3u8
CCTV-7,http://118.249.4.215:8082/hls/8/index.m3u8
CCTV-8,http://118.249.4.215:8082/hls/9/index.m3u8
CCTV-9,http://118.249.4.215:8082/hls/10/index.m3u8
CCTV-10,http://118.249.4.215:8082/hls/11/index.m3u8
CCTV-11,http://118.249.4.215:8082/hls/12/index.m3u8
CCTV-12,http://118.249.4.215:8082/hls/13/index.m3u8
CCTV-14,http://118.249.4.215:8082/hls/15/index.m3u8
CCTV-15,http://118.249.4.215:8082/hls/16/index.m3u8

CCTV-1,http://116.54.29.4:808/hls/1/index.m3u8
CCTV-2,http://116.54.29.4:808/hls/2/index.m3u8
CCTV-3,http://116.54.29.4:808/hls/3/index.m3u8
CCTV-4,http://116.54.29.4:808/hls/4/index.m3u8
CCTV-5,http://116.54.29.4:808/hls/5/index.m3u8
CCTV-5+,http://116.54.29.4:808/hls/6/index.m3u8
CCTV-6,http://116.54.29.4:808/hls/7/index.m3u8
CCTV-7,http://116.54.29.4:808/hls/8/index.m3u8
CCTV-8,http://116.54.29.4:808/hls/9/index.m3u8
CCTV-9,http://116.54.29.4:808/hls/10/index.m3u8
CCTV-10,http://116.54.29.4:808/hls/11/index.m3u8
CCTV-11,http://116.54.29.4:808/hls/12/index.m3u8
